Epoch, Precision, Recall, FScore
0, 0.08455300000000031, 0.16116, 0.10102034920634957
1, 0.16436790476190485, 0.25672, 0.18525844444444486
2, 0.34785999999999717, 0.42248, 0.36177772871572866
3, 0.48753800000000286, 0.52496, 0.48575257142857137
4, 0.47244800000000176, 0.49196, 0.4627747619047615
5, 0.5831373333333377, 0.6004, 0.5734430793650771
6, 0.6137153333333374, 0.6194, 0.5990118095238094
7, 0.6743800000000048, 0.67656, 0.6588932698412671
8, 0.7180013333333355, 0.71468, 0.7004917777777768
9, 0.7453753333333348, 0.73916, 0.7274099365079366
10, 0.7299160000000009, 0.71996, 0.708768380952379
11, 0.7496620000000008, 0.74116, 0.7305598412698401
12, 0.7661420000000001, 0.75716, 0.7474445714285715
13, 0.7691093333333332, 0.76692, 0.7540425079365082
14, 0.7639220000000004, 0.74876, 0.7418029523809531
15, 0.790562, 0.77656, 0.7706599999999999
16, 0.7964899999999998, 0.78788, 0.7793336507936505
17, 0.7987066666666662, 0.78396, 0.7789230476190464
18, 0.8032213333333338, 0.79144, 0.7848503492063471
19, 0.8224833333333325, 0.81248, 0.806218476190476
20, 0.8295733333333328, 0.82088, 0.8143935238095242
21, 0.8402333333333323, 0.82768, 0.8232053333333326
22, 0.8429553333333324, 0.83164, 0.826726666666667
23, 0.8405033333333326, 0.82944, 0.8243099047619059
24, 0.8446199999999991, 0.83304, 0.8280697142857143
25, 0.8428019999999997, 0.83104, 0.8262871428571447
26, 0.8434233333333334, 0.83128, 0.8267158095238094
27, 0.8430386666666663, 0.83088, 0.8262444761904761
28, 0.8422879999999995, 0.8286, 0.8246635555555555
29, 0.8423279999999996, 0.83076, 0.8258671746031744
30, 0.8418779999999993, 0.8288, 0.8246283174603175
31, 0.843391333333333, 0.83044, 0.8263357460317464
32, 0.8433246666666663, 0.83056, 0.8263277460317455
33, 0.8418513333333327, 0.83068, 0.8255605079365076
34, 0.8431379999999993, 0.83076, 0.8263902222222215
35, 0.8419146666666661, 0.82912, 0.8249140317460313
36, 0.8431913333333327, 0.82948, 0.825650412698413
37, 0.8426246666666664, 0.8298, 0.8254624126984125
38, 0.842311333333333, 0.82924, 0.8251159365079365
39, 0.8416279999999993, 0.82932, 0.8249294603174596
40, 0.8405979999999994, 0.828, 0.8235197460317448
41, 0.8408713333333324, 0.8286, 0.8239178412698411
42, 0.8380946666666663, 0.82596, 0.8212471746031733
43, 0.8378413333333328, 0.82584, 0.8209765079365071
44, 0.8332633333333327, 0.82116, 0.8160586666666663
45, 0.8340433333333326, 0.82236, 0.8171251428571421
46, 0.8359833333333329, 0.82348, 0.8188638095238093
47, 0.837261333333333, 0.82444, 0.8198317460317457
48, 0.8340179999999995, 0.82108, 0.8164688888888889
49, 0.8284019999999991, 0.81596, 0.8109185714285708
50, 0.8296146666666658, 0.81752, 0.8123226031746024
51, 0.8342813333333328, 0.82288, 0.817798031746031
52, 0.8351799999999994, 0.82204, 0.8176076507936509
53, 0.833731333333333, 0.82288, 0.81730146031746
54, 0.8322199999999994, 0.82152, 0.8160215238095236
55, 0.8329779999999993, 0.82264, 0.8169662539682533
56, 0.8343166666666663, 0.82284, 0.8175620952380953
57, 0.833491333333333, 0.82204, 0.8168734603174594
58, 0.8384753333333328, 0.82796, 0.8225937142857148
59, 0.839474666666666, 0.82704, 0.8226827936507928
60, 0.8007133333333343, 0.79056, 0.7833676507936498
61, 0.8130279999999998, 0.80372, 0.796603396825398
62, 0.8083119999999998, 0.7984, 0.7910379047619046
63, 0.8171726666666664, 0.80596, 0.8000311111111112
64, 0.811460666666666, 0.795, 0.7912486031746038
65, 0.8155213333333339, 0.8056, 0.798423555555554
66, 0.8238166666666661, 0.81004, 0.8054576190476199
67, 0.8187619999999999, 0.80548, 0.8002195238095241
68, 0.8178499999999995, 0.8044, 0.7995449523809526
69, 0.8248233333333327, 0.80956, 0.8059662857142857
70, 0.8175466666666669, 0.8076, 0.8009390476190469
71, 0.8182079999999997, 0.80556, 0.8000437460317452
72, 0.8164499999999996, 0.80172, 0.797425333333332
